Width,Length,Bedrooms,Bathrooms,District,Province,Price
4.0,16.0,3,3,tan binh,tp ho chi minh,8900000000
4.4,14.5,2,1,thu duc,tp ho chi minh,1700000000
4.4,14.5,2,3,thu duc,tp ho chi minh,4200000000
4.4,14.5,4,5,thu duc,tp ho chi minh,2450000000
4.0,16.0,3,2,hoc mon,tp ho chi minh,870000000
4.0,16.0,3,3,quan 5,tp ho chi minh,13800000000
4.4,14.5,4,4,thu duc,tp ho chi minh,5200000000
4.0,16.0,2,2,quan 12,tp ho chi minh,1200000000
4.4,14.5,2,1,thu duc,tp ho chi minh,2500000000
4.0,16.0,3,3,da lat,lam dong,5600000000
4.0,16.0,6,7,quan 12,tp ho chi minh,4600000000
4.5,14.3,4,5,binh thanh,tp ho chi minh,7300000000
4.4,14.5,3,3,thu duc,tp ho chi minh,1480000000
4.4,14.5,2,3,thu duc,tp ho chi minh,2950000000
4.0,16.0,3,3,quan 3,tp ho chi minh,9500000000
4.4,14.5,3,1,thu duc,tp ho chi minh,1620000000
4.4,14.5,2,1,thu duc,tp ho chi minh,2100000000
4.0,16.0,4,5,thu duc,tp ho chi minh,5000000000
4.0,16.0,3,3,nam dinh,nam dinh,2450000000
4.0,16.0,4,5,quan 12,tp ho chi minh,6000000000
4.0,16.0,3,2,bien hoa,dong nai,1500000000
4.0,16.0,3,2,quan 7,tp ho chi minh,4400000000
4.0,16.0,4,5,nha be,tp ho chi minh,5600000000
8.0,8.0,2,2,phu nhuan,tp ho chi minh,12500000000
4.0,16.0,2,2,quan 3,tp ho chi minh,2500000000
4.0,16.0,3,3,quan 11,tp ho chi minh,10500000000
4.0,16.0,4,4,binh tan,tp ho chi minh,3100000000
4.0,16.0,4,4,nha be,tp ho chi minh,5500000000
4.0,16.0,3,4,go vap,tp ho chi minh,4400000000
4.4,14.5,2,2,thu duc,tp ho chi minh,1090000000
4.0,16.0,6,6,dong da,ha noi,6900000000
4.0,16.0,4,5,quan 12,tp ho chi minh,8200000000
4.4,14.5,3,3,thu duc,tp ho chi minh,5200000000
4.4,14.5,3,3,thu duc,tp ho chi minh,15000000000
4.0,16.0,5,5,binh tan,tp ho chi minh,5550000000
4.4,14.5,4,4,thu duc,tp ho chi minh,4300000000
4.0,16.0,4,4,thu duc,tp ho chi minh,4850000000
4.4,14.5,2,2,thu duc,tp ho chi minh,1500000000
4.4,14.5,4,4,thu duc,tp ho chi minh,3950000000
4.0,16.0,3,3,quan 10,tp ho chi minh,12000000000
4.0,16.0,2,1,go vap,tp ho chi minh,4200000000
7.5,10.0,3,2,dong da,ha noi,46000000000
5.0,15.0,5,6,dong da,ha noi,9600000000
5.0,15.0,5,4,tan phu,tp ho chi minh,3500000000
5.0,15.0,4,3,quan 7,tp ho chi minh,6990000000
5.0,15.0,7,3,quan 7,tp ho chi minh,4980000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1220000000
5.0,15.0,5,5,quan 7,tp ho chi minh,16500000000
5.0,15.0,1,2,quan 7,tp ho chi minh,4500000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1160000000
5.0,15.0,18,3,gia lam,ha noi,7000000000
5.0,15.0,3,3,an duong,hai phong,2300000000
5.0,15.0,8,8,thanh xuan,ha noi,6100000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1890000000
5.0,15.0,1,1,go vap,tp ho chi minh,980000000
5.0,15.0,2,2,quan 12,tp ho chi minh,790000000
5.0,15.0,4,2,quan 7,tp ho chi minh,9400000000
5.0,15.0,2,2,hoc mon,tp ho chi minh,950000000
5.0,15.0,3,4,quan 7,tp ho chi minh,5000000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1780000000
5.0,15.0,7,3,quan 7,tp ho chi minh,3950000000
5.0,15.0,4,3,go vap,tp ho chi minh,5100000000
5.0,15.0,6,6,tan phu,tp ho chi minh,3500000000
5.0,15.0,3,3,lien chieu,da nang,4000000000
5.0,15.0,6,7,quan 7,tp ho chi minh,13800000000
5.0,15.0,4,3,quan 7,tp ho chi minh,8500000000
5.0,15.0,4,4,quan 7,tp ho chi minh,6900000000
5.0,15.0,3,2,bien hoa,dong nai,980000000
5.0,15.0,4,5,thu duc,tp ho chi minh,4300000000
5.0,15.0,3,3,quan 4,tp ho chi minh,940000000
5.0,15.0,2,3,quan 7,tp ho chi minh,897000000
5.0,15.0,2,1,binh tan,tp ho chi minh,4100000000
7.5,10.0,3,2,hai ba trung,ha noi,55000000000
5.0,15.0,3,2,tan phu,tp ho chi minh,3980000000
5.0,15.0,2,2,binh thanh,tp ho chi minh,8500000000
5.0,15.0,3,3,quan 5,tp ho chi minh,1280000000
5.0,15.0,4,4,quan 7,tp ho chi minh,2700000000
5.0,15.0,5,3,quan 7,tp ho chi minh,4300000000
5.0,15.0,3,3,thu duc,tp ho chi minh,2790000000
5.0,15.0,3,3,binh thanh,tp ho chi minh,6200000000
5.0,15.0,3,2,quan 12,tp ho chi minh,990000000
5.0,15.0,3,3,quan 7,tp ho chi minh,5831000000
5.0,15.0,3,2,tan binh,tp ho chi minh,8600000000
5.0,15.0,3,2,thu duc,tp ho chi minh,2100000000
5.0,15.0,3,3,duc hoa,long an,2850000000
5.0,15.0,4,3,quan 7,tp ho chi minh,3720000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1230000000
5.0,15.0,4,5,tan binh,tp ho chi minh,14600000000
5.0,15.0,3,3,quan 5,tp ho chi minh,1980000000
5.0,15.0,4,5,quan 7,tp ho chi minh,5900000000
5.0,15.0,2,2,binh thanh,tp ho chi minh,1200000000
4.7,16.0,4,3,dong da,ha noi,4900000000
5.0,15.0,3,3,quan 1,tp ho chi minh,15500000000
5.0,15.0,3,3,quan 10,tp ho chi minh,9000000000
5.0,15.0,5,3,duc hoa,long an,3500000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,4050000000
5.0,15.0,3,3,tan binh,tp ho chi minh,15000000000
5.0,15.0,5,4,quan 7,tp ho chi minh,8500000000
4.71,16.0,3,3,thanh khe,da nang,18000000000
5.0,15.0,3,3,bien hoa,dong nai,1700000000
5.0,15.0,1,1,tan binh,tp ho chi minh,2000000000
5.0,15.0,4,4,quan 7,tp ho chi minh,13000000000
7.5,10.0,4,3,dong da,ha noi,12500000000
3.0,25.0,3,2,thu dau mot,binh duong,1700000000
5.0,15.0,4,4,thu duc,tp ho chi minh,4700000000
6.0,12.5,4,4,quan 3,tp ho chi minh,22500000000
5.0,15.0,4,3,quan 7,tp ho chi minh,10500000000
5.0,15.0,3,4,quan 7,tp ho chi minh,7000000000
5.0,15.0,3,3,tan binh,tp ho chi minh,5500000000
5.0,15.0,2,2,bac ninh,bac ninh,1550000000
5.0,15.0,4,4,quan 7,tp ho chi minh,6300000000
5.0,15.0,4,4,tan binh,tp ho chi minh,22000000000
5.0,15.0,5,5,hoan kiem,ha noi,62000000000
5.0,15.0,16,3,quan 7,tp ho chi minh,11900000000
4.71,16.0,3,3,thanh khe,da nang,3770000000
4.71,16.0,2,2,thanh khe,da nang,1980000000
5.0,15.0,3,3,quan 1,tp ho chi minh,29000000000
5.0,15.0,4,4,tan phu,tp ho chi minh,2150000000
5.0,15.0,3,4,quan 11,tp ho chi minh,8400000000
5.0,15.0,3,2,quan 3,tp ho chi minh,1270000000
4.0,18.84,2,2,vung tau,ba ria-vung tau,2850000000
5.0,15.0,3,3,ben luc,long an,1500000000
15.0,5.0,3,3,thanh khe,da nang,4000000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,4800000000
5.0,15.0,2,1,quan 7,tp ho chi minh,1150000000
5.0,15.0,2,2,quan 1,tp ho chi minh,1800000000
5.0,15.0,3,3,tan phu,tp ho chi minh,4400000000
5.0,15.0,3,3,phu nhuan,tp ho chi minh,16200000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1260000000
5.0,15.0,6,6,binh thanh,tp ho chi minh,8000000000
4.0,18.75,2,1,hue,thua thien-hue,1195000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1260000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1800000000
5.0,15.0,3,4,tan binh,tp ho chi minh,6200000000
5.0,15.0,3,3,quan 7,tp ho chi minh,1550000000
5.0,15.0,3,3,quan 7,tp ho chi minh,8500000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1325000000
5.0,15.0,1,2,quan 7,tp ho chi minh,950000000
5.0,15.0,3,2,quan 12,tp ho chi minh,1000000000
5.0,15.0,4,3,bac ninh,bac ninh,3200000000
7.5,10.0,6,3,cau giay,ha noi,28000000000
5.0,15.0,3,2,quan 10,tp ho chi minh,1270000000
5.0,15.0,3,3,quan 12,tp ho chi minh,1860000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1090000000
6.0,12.5,8,8,quan 3,tp ho chi minh,12700000000
4.0,18.7,3,3,quan 10,tp ho chi minh,11400000000
5.0,15.0,1,1,cu chi,tp ho chi minh,865000000
5.0,15.0,5,4,ngu hanh son,da nang,9000000000
5.0,15.0,3,2,vinh cuu,dong nai,930000000
4.4,17.0,5,3,thu duc,tp ho chi minh,4950000000
5.0,15.0,4,4,binh thanh,tp ho chi minh,6400000000
5.0,15.0,2,1,quan 12,tp ho chi minh,1200000000
3.75,20.0,3,3,vung tau,ba ria-vung tau,7500000000
5.0,15.0,4,5,duc hoa,long an,12000000000
5.0,15.0,3,3,quan 7,tp ho chi minh,3200000000
5.0,15.0,4,3,quan 7,tp ho chi minh,16000000000
4.5,16.7,3,3,ba dinh,ha noi,24000000000
5.0,15.0,4,4,hoang mai,ha noi,3600000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1200000000
5.0,15.0,3,2,duc hoa,long an,650000000
4.0,18.75,2,1,hue,thua thien-hue,1150000000
5.0,15.0,4,4,quan 7,tp ho chi minh,4900000000
5.0,15.0,2,2,hoc mon,tp ho chi minh,1250000000
5.0,15.0,4,3,duc hoa,long an,1900000000
4.71,16.0,2,2,thanh khe,da nang,5500000000
5.0,15.0,3,2,quan 7,tp ho chi minh,3100000000
5.0,15.0,3,2,vinh cuu,dong nai,16000000000
5.0,15.0,3,3,quan 7,tp ho chi minh,11200000000
5.0,15.0,2,2,thuan an,binh duong,2900000000
5.0,15.0,4,3,quan 7,tp ho chi minh,4600000000
5.0,15.0,4,4,phu nhuan,tp ho chi minh,2750000000
5.0,15.0,2,2,quan 7,tp ho chi minh,2700000000
4.71,16.0,3,3,thanh khe,da nang,2750000000
5.8,13.0,4,5,nha be,tp ho chi minh,4600000000
5.0,15.0,4,3,quan 7,tp ho chi minh,3350000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1180000000
5.0,15.0,4,3,quan 7,tp ho chi minh,6000000000
6.0,12.5,4,4,quan 3,tp ho chi minh,11300000000
5.0,15.0,6,5,quan 3,tp ho chi minh,14300000000
5.0,15.0,3,3,quan 7,tp ho chi minh,5200000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1560000000
5.0,15.0,4,5,go vap,tp ho chi minh,6500000000
5.0,15.0,4,3,quan 3,tp ho chi minh,2800000000
5.0,15.0,5,3,quan 7,tp ho chi minh,11200000000
5.0,15.0,3,2,thuan an,binh duong,2750000000
4.2,17.8,6,4,hai ba trung,ha noi,7800000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1370000000
5.0,15.0,3,2,tan binh,tp ho chi minh,5200000000
5.0,15.0,3,3,bac ninh,bac ninh,3150000000
5.0,15.0,3,2,quan 7,tp ho chi minh,2680000000
5.0,15.0,4,4,hai chau,da nang,6900000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,6000000000
6.0,12.5,3,3,quan 7,tp ho chi minh,5500000000
6.0,12.5,3,3,quan 3,tp ho chi minh,10900000000
5.0,15.0,5,5,thu duc,tp ho chi minh,6800000000
5.0,15.0,4,4,quan 7,tp ho chi minh,6350000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1300000000
5.0,15.0,3,3,duc hoa,long an,1700000000
5.0,15.0,3,2,hoc mon,tp ho chi minh,1200000000
4.71,16.0,3,3,thanh khe,da nang,7500000000
5.0,15.0,3,2,vinh cuu,dong nai,1300000000
5.0,15.0,4,4,hoan kiem,ha noi,15800000000
4.4,17.0,4,2,tan phu,tp ho chi minh,5000000000
5.0,15.0,3,3,bac ninh,bac ninh,3300000000
5.0,15.0,6,4,tay ho,ha noi,6700000000
5.0,15.0,2,3,quan 7,tp ho chi minh,4150000000
5.0,15.0,2,5,thanh xuan,ha noi,4000000000
5.0,15.0,3,3,tan binh,tp ho chi minh,11200000000
5.0,15.0,11,3,quan 7,tp ho chi minh,8500000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1140000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1600000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1580000000
5.0,15.0,3,3,thu duc,tp ho chi minh,830000000
5.0,15.0,4,4,tien du,bac ninh,3000000000
5.0,15.0,4,4,thu duc,tp ho chi minh,3000000000
5.0,15.0,4,5,quan 7,tp ho chi minh,6950000000
5.0,15.0,3,3,chon thanh,binh phuoc,360000000
5.0,15.0,3,3,son tra,da nang,6900000000
5.0,15.0,10,10,hoc mon,tp ho chi minh,940000000
5.0,15.0,2,2,tan binh,tp ho chi minh,3850000000
5.0,15.0,5,4,nam tu liem,ha noi,23000000000
5.0,15.0,3,4,duc hoa,long an,1800000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,3500000000
5.0,15.0,3,1,quan 7,tp ho chi minh,1270000000
5.0,15.0,2,2,binh chanh,tp ho chi minh,780000000
5.0,15.0,3,2,go vap,tp ho chi minh,1110000000
5.0,15.0,4,4,quan 7,tp ho chi minh,5050000000
5.0,15.0,2,1,hoc mon,tp ho chi minh,1700000000
5.0,15.0,2,2,quan 5,tp ho chi minh,950000000
5.0,15.0,3,3,binh tan,tp ho chi minh,5100000000
5.0,15.0,4,4,long bien,ha noi,5450000000
5.0,15.0,3,2,quan 7,tp ho chi minh,5500000000
5.0,15.0,4,3,quan 7,tp ho chi minh,46000000000
5.0,15.0,5,5,go vap,tp ho chi minh,4500000000
5.0,15.0,4,3,quan 7,tp ho chi minh,6400000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1540000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1190000000
5.0,15.0,4,3,quan 7,tp ho chi minh,14000000000
5.0,15.0,5,3,cau giay,ha noi,7500000000
7.5,10.0,6,5,dong da,ha noi,6300000000
5.0,15.0,3,3,bac ninh,bac ninh,3299000000
5.0,15.0,3,3,thu duc,tp ho chi minh,1930000000
4.7,16.0,4,3,quan 7,tp ho chi minh,5300000000
5.0,15.0,3,2,tan phu,tp ho chi minh,2500000000
5.0,15.0,4,5,go vap,tp ho chi minh,4500000000
5.0,15.0,2,3,quan 7,tp ho chi minh,3700000000
5.0,15.0,1,1,phu nhuan,tp ho chi minh,1470000000
5.0,15.0,4,5,quan 7,tp ho chi minh,7400000000
5.0,15.0,3,4,vung tau,ba ria-vung tau,5200000000
5.0,15.0,4,3,quan 7,tp ho chi minh,8250000000
4.3,17.4,3,3,ba dinh,ha noi,24000000000
5.0,15.0,3,3,quan 7,tp ho chi minh,3650000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1350000000
5.0,15.0,3,3,tan binh,tp ho chi minh,9400000000
4.7,16.0,1,1,vung tau,ba ria-vung tau,1100000000
5.0,15.0,2,3,tan binh,tp ho chi minh,4400000000
5.0,15.0,3,3,quan 10,tp ho chi minh,890000000
5.0,15.0,3,3,duc hoa,long an,2100000000
5.05,14.8,2,2,hoc mon,tp ho chi minh,1250000000
5.0,15.0,3,3,bac ninh,bac ninh,3180000000
5.0,15.0,16,3,quan 7,tp ho chi minh,17000000000
5.0,15.0,2,2,quan 1,tp ho chi minh,3500000000
5.0,15.0,3,3,hoc mon,tp ho chi minh,1800000000
5.0,15.0,3,2,gia lam,ha noi,1550000000
5.0,15.0,4,4,quan 7,tp ho chi minh,8500000000
5.0,15.0,8,6,cau giay,ha noi,15000000000
5.0,15.0,4,5,go vap,tp ho chi minh,6400000000
6.0,12.5,6,6,quan 3,tp ho chi minh,12500000000
5.0,15.0,2,3,quan 7,tp ho chi minh,960000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,1800000000
5.0,15.0,2,2,hoc mon,tp ho chi minh,1200000000
5.0,15.0,4,5,tan binh,tp ho chi minh,9700000000
5.0,15.0,3,3,duc hoa,long an,3100000000
4.6,16.3,7,8,da lat,lam dong,14000000000
5.0,15.0,4,3,quan 7,tp ho chi minh,7300000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1290000000
5.0,15.0,1,2,cu chi,tp ho chi minh,375000000
5.0,15.0,3,3,tan binh,tp ho chi minh,12500000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1390000000
5.0,15.0,3,3,quan 7,tp ho chi minh,5800000000
5.0,15.0,3,2,hoc mon,tp ho chi minh,850000000
5.0,15.0,2,2,go vap,tp ho chi minh,1300000000
7.5,10.0,3,3,ha dong,ha noi,5500000000
5.0,15.0,3,3,quan 7,tp ho chi minh,14500000000
5.0,15.0,3,3,tan binh,tp ho chi minh,25800000000
5.0,15.0,3,2,thu duc,tp ho chi minh,1215000000
6.8,11.0,6,4,long bien,ha noi,6850000000
5.0,15.0,3,2,tan phu,tp ho chi minh,5000000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1600000000
5.0,15.0,3,3,quan 7,tp ho chi minh,18500000000
5.0,15.0,3,2,hoc mon,tp ho chi minh,1800000000
5.0,15.0,6,4,tay ho,ha noi,12300000000
5.0,15.0,4,4,tan binh,tp ho chi minh,7500000000
5.0,15.0,3,3,thanh thuy,phu tho,3700000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1150000000
5.0,15.0,3,3,son tra,da nang,11000000000
5.0,15.0,2,2,quan 7,tp ho chi minh,4200000000
5.0,15.0,4,3,quan 7,tp ho chi minh,5400000000
5.0,15.0,2,2,thuan an,binh duong,4000000000
5.0,15.0,5,5,binh tan,tp ho chi minh,6150000000
5.0,15.0,5,6,go vap,tp ho chi minh,6800000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1300000000
5.0,15.0,3,3,hoc mon,tp ho chi minh,2800000000
5.0,15.0,3,3,tan binh,tp ho chi minh,3200000000
5.0,15.0,2,3,thanh thuy,phu tho,3500000000
5.0,15.0,2,3,quan 7,tp ho chi minh,13500000000
3.0,25.0,3,3,quan 8,tp ho chi minh,7800000000
5.0,15.0,2,2,quan 7,tp ho chi minh,3400000000
5.0,15.0,3,3,buon ma thuot,dak lak,3300000000
5.0,15.0,2,2,can giuoc,long an,1250000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1100000000
5.0,15.0,7,3,quan 7,tp ho chi minh,14900000000
4.7,16.0,4,3,quan 7,tp ho chi minh,5300000000
5.0,15.0,2,3,quan 7,tp ho chi minh,3050000000
5.0,15.0,3,3,vung tau,ba ria-vung tau,6500000000
5.0,15.0,4,2,tan binh,tp ho chi minh,5000000000
6.0,12.5,2,3,quan 3,tp ho chi minh,15000000000
5.0,15.0,4,5,quan 7,tp ho chi minh,8500000000
5.0,15.0,4,4,ha dong,ha noi,8500000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1650000000
7.5,10.0,5,3,ha dong,ha noi,5800000000
4.71,16.0,3,4,thanh khe,da nang,3400000000
4.7,16.0,2,3,nha trang,khanh hoa,6500000000
5.0,15.0,3,3,hoc mon,tp ho chi minh,2300000000
5.0,15.0,4,2,quan 7,tp ho chi minh,8900000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1020000000
6.0,12.5,6,6,quan 3,tp ho chi minh,8000000000
4.71,16.0,11,3,thanh khe,da nang,8400000000
5.0,15.0,2,3,quan 7,tp ho chi minh,19000000000
5.0,15.0,3,3,duc hoa,long an,2900000000
5.0,15.0,2,2,quan 7,tp ho chi minh,2410000000
5.0,15.0,5,3,tan binh,tp ho chi minh,7000000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1280000000
7.5,10.0,4,3,bac tu liem,ha noi,4500000000
5.0,15.0,3,3,quan 7,tp ho chi minh,6300000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1899000000
5.0,15.0,2,2,pleiku,gia lai,2100000000
5.0,15.0,3,3,tan binh,tp ho chi minh,16000000000
5.0,15.0,4,3,binh chanh,tp ho chi minh,995000000
5.0,15.0,3,3,binh thanh,tp ho chi minh,1100000000
7.5,10.0,5,5,dong da,ha noi,17000000000
5.0,15.0,2,2,quan 7,tp ho chi minh,2103000000
5.0,15.0,2,2,thuan an,binh duong,3500000000
5.0,15.0,5,3,ha dong,ha noi,5100000000
5.0,15.0,2,2,binh thanh,tp ho chi minh,965000000
5.0,15.0,3,1,quan 7,tp ho chi minh,1105000000
5.0,15.0,2,1,lien chieu,da nang,2850000000
5.0,15.0,4,4,go vap,tp ho chi minh,5500000000
5.0,15.0,5,3,binh tan,tp ho chi minh,6500000000
5.0,15.0,3,2,bien hoa,dong nai,1690000000
5.0,15.0,5,4,binh tan,tp ho chi minh,6500000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1200000000
5.0,15.0,4,5,quan 7,tp ho chi minh,13500000000
5.0,15.0,2,3,quan 7,tp ho chi minh,950000000
5.0,15.0,3,1,quan 7,tp ho chi minh,16500000000
6.0,12.5,2,2,quan 3,tp ho chi minh,4390000000
5.0,15.0,5,6,quan 7,tp ho chi minh,8480000000
5.0,15.0,2,2,quan 7,tp ho chi minh,2120000000
5.0,15.0,10,10,ha dong,ha noi,4850000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,2475000000
5.0,15.0,4,4,ha dong,ha noi,8700000000
5.0,15.0,2,3,binh thanh,tp ho chi minh,1060000000
5.0,15.0,3,3,tan binh,tp ho chi minh,7000000000
5.0,15.0,3,3,nam dinh,nam dinh,1900000000
5.0,15.0,3,3,bac ninh,bac ninh,3000000000
5.0,15.0,4,3,quan 7,tp ho chi minh,35000000000
5.0,15.0,3,2,binh thanh,tp ho chi minh,1250000000
5.0,15.0,4,4,bac ninh,bac ninh,3000000000
6.0,12.5,8,8,quan 3,tp ho chi minh,8300000000
5.0,15.0,6,7,quan 12,tp ho chi minh,3600000000
5.0,15.0,4,4,tan binh,tp ho chi minh,5500000000
5.0,15.0,3,3,hai chau,da nang,6500000000
4.15,18.0,3,3,thu duc,tp ho chi minh,4300000000
5.0,15.0,7,3,quan 7,tp ho chi minh,5800000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1120000000
6.0,12.5,2,2,quan 3,tp ho chi minh,16900000000
5.0,15.0,3,3,thu duc,tp ho chi minh,1300000000
5.0,15.0,3,3,quan 7,tp ho chi minh,1150000000
5.0,15.0,4,3,quan 7,tp ho chi minh,55000000000
5.0,15.0,3,3,tan binh,tp ho chi minh,5600000000
5.0,15.0,6,5,quan 7,tp ho chi minh,22000000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1230000000
5.0,15.0,2,2,quan 7,tp ho chi minh,2850000000
5.0,15.0,3,3,tan binh,tp ho chi minh,9950000000
5.0,15.0,4,3,quan 7,tp ho chi minh,5700000000
5.0,15.0,4,5,tan binh,tp ho chi minh,16800000000
4.71,16.0,2,2,thanh khe,da nang,2300000000
5.0,15.0,3,2,vinh cuu,dong nai,2800000000
5.0,15.0,4,4,hoang mai,ha noi,9300000000
6.0,12.5,6,6,quan 3,tp ho chi minh,13000000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1810000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1190000000
4.4,17.0,5,6,tan binh,tp ho chi minh,12500000000
5.0,15.0,4,4,quan 7,tp ho chi minh,8200000000
5.0,15.0,2,3,quan 7,tp ho chi minh,980000000
4.71,16.0,2,1,thanh khe,da nang,4900000000
5.0,15.0,2,2,quan 1,tp ho chi minh,2100000000
7.5,10.0,27,3,dong da,ha noi,8600000000
5.0,15.0,4,5,quan 12,tp ho chi minh,6100000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1478000000
5.0,15.0,3,3,quan 7,tp ho chi minh,4000000000
5.0,15.0,2,3,go vap,tp ho chi minh,4600000000
4.25,17.6,3,3,ba dinh,ha noi,24000000000
5.0,15.0,4,3,hoc mon,tp ho chi minh,2100000000
6.0,12.5,4,3,thu duc,tp ho chi minh,6300000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,2400000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1430000000
5.0,15.0,3,3,duc hoa,long an,2500000000
5.0,15.0,3,2,quan 12,tp ho chi minh,1200000000
5.0,15.0,2,2,quan 7,tp ho chi minh,2200000000
5.0,15.0,3,2,hoc mon,tp ho chi minh,1300000000
5.0,15.0,3,3,quan 7,tp ho chi minh,4500000000
4.71,16.0,2,2,thanh khe,da nang,1920000000
5.0,15.0,5,5,go vap,tp ho chi minh,4300000000
5.0,15.0,4,4,hoc mon,tp ho chi minh,4200000000
5.0,15.0,4,3,quan 7,tp ho chi minh,1450000000
5.0,15.0,3,3,duc hoa,long an,2200000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1230000000
5.0,15.0,3,3,quan 7,tp ho chi minh,4850000000
4.4,17.0,4,3,tan phu,tp ho chi minh,5300000000
5.0,15.0,2,3,quan 7,tp ho chi minh,1700000000
6.0,12.5,4,4,quan 3,tp ho chi minh,12000000000
5.0,15.0,3,3,duc hoa,long an,1800000000
4.4,17.0,4,6,go vap,tp ho chi minh,9200000000
5.0,15.0,3,3,quan 5,tp ho chi minh,17500000000
4.71,16.0,2,2,thanh khe,da nang,4100000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1310000000
5.0,15.0,5,3,quan 7,tp ho chi minh,6850000000
5.0,15.0,3,2,quan 7,tp ho chi minh,1380000000
5.0,15.0,2,1,duc hoa,long an,1200000000
4.0,18.75,3,3,kien an,hai phong,2200000000
5.0,15.0,1,1,quan 7,tp ho chi minh,1430000000
5.0,15.0,3,3,binh chanh,tp ho chi minh,2250000000
5.0,15.0,3,3,thu duc,tp ho chi minh,1500000000
5.0,15.0,5,6,tu son,bac ninh,2200000000
5.0,15.0,2,3,tan phu,tp ho chi minh,6200000000
5.0,15.0,4,4,quan 7,tp ho chi minh,11500000000
5.0,15.0,3,3,binh thanh,tp ho chi minh,6800000000
7.7,9.8,3,5,dong da,ha noi,18000000000
5.0,15.0,3,3,quan 7,tp ho chi minh,1150000000
6.0,12.5,4,5,quan 3,tp ho chi minh,11300000000
5.0,15.0,2,3,quan 7,tp ho chi minh,3400000000
7.5,10.0,6,8,nam tu liem,ha noi,23500000000
5.0,15.0,2,2,thu duc,tp ho chi minh,855000000
5.0,15.0,2,2,quan 7,tp ho chi minh,2270000000
5.0,15.0,3,3,quan 1,tp ho chi minh,20000000000
5.0,15.0,2,3,quan 7,tp ho chi minh,3600000000
5.0,15.0,4,5,quan 7,tp ho chi minh,6200000000
4.71,16.0,3,2,thanh khe,da nang,2950000000
6.0,12.5,2,2,quan 3,tp ho chi minh,4490000000
5.0,15.0,3,2,tan binh,tp ho chi minh,1970000000
5.0,15.0,4,4,vung tau,ba ria-vung tau,5800000000
5.0,15.0,3,1,quan 7,tp ho chi minh,1145000000
5.0,15.0,2,1,tan binh,tp ho chi minh,850000000
5.0,15.0,3,3,tan phu,tp ho chi minh,13000000000
7.5,10.0,2,3,hai ba trung,ha noi,3600000000
5.0,15.0,6,7,go vap,tp ho chi minh,3600000000
4.7,16.0,3,3,nha trang,khanh hoa,3000000000
5.0,15.0,4,2,hoc mon,tp ho chi minh,2100000000
5.0,15.0,2,2,quan 7,tp ho chi minh,1471000000
5.0,15.0,3,3,bac ninh,bac ninh,3300000000
5.0,15.0,4,2,bac ninh,bac ninh,1000000000
5.0,15.0,5,5,thanh hoa,thanh hoa,5600000000
4.5,16.7,4,4,hai chau,da nang,6900000000
